1,ॐ ऐं ह्रीं श्रीं क्लीं साईनाथाय नमः ,Om aim hrim srim klim sainathaya namah ,ওঁ ঐং হ্রীং শ্রীং ক্লীং সাঈনাথায় নমঃ ,ఓం ఐం హ్రీం శ్రీం క్లీం సాఈనాథాయ నమః ,ௐ ஐம் ஹ்ரீம் ஶ்ரீம் க்லீம் ஸாஈநாதா²ய நம: ,ಓಂ ಐಂ ಹ್ರೀಂ ಶ್ರೀಂ ಕ್ಲೀಂ ಸಾಈನಾಥಾಯ ನಮಃ ,ഓം ഐം ഹ്രീം ശ്രീം ക്ലീം സാഈനാഥായ നമഃ ,ૐ ઐં હ્રીં શ્રીં ક્લીં સાઈનાથાય નમઃ ,ଓଂ ଐଂ ହ୍ରୀଂ ଶ୍ରୀଂ କ୍ଲୀଂ ସାଈନାଥାୟ ନମଃ ,ॐ ਐਂ ਹ੍ਰੀਂ ਸ਼੍ਰੀਂ ਕ੍ਲੀਂ ਸਾਈਨਾਥਾਯ ਨਮਃ ,Om- to the Venerable Lord Sai- prostration !,ओम- आदरणीय भगवान साईं को- साष्टांग प्रणाम!,ॐ पूज्य भगवान् साईंलाई नमन !,ஓம்- வணக்கத்திற்குரிய இறைவன் சாய் அவர்களுக்கு- சாஷ்டாங்கம்!,ఓం- పూజ్యమైన భగవాన్ సాయికి సాష్టాంగ ప్రణామం!,ಓಂ- ಪೂಜ್ಯ ಭಗವಂತ ಸಾಯಿ ಅವರಿಗೆ- ನಮನ!,ഓം- ബഹുമാന്യനായ ഭഗവാൻ സായിക്ക്- പ്രണാമം!,ওম- পূজ্য ভগবান সাঁইকে প্রণাম!,ଓମ୍- ଭେନେରେବଲ୍ ପ୍ରଭୁ ସାଇଙ୍କୁ- ପ୍ରଣାମ!,हे पूज्य भगवान साईंना साष्टांग नमस्कार !,ਓਮ- ਪੂਜਨੀਕ ਪ੍ਰਭੂ ਸਾਈਂ ਨੂੰ- ਪ੍ਰਣਾਮ!,ઓમ- પૂજ્ય ભગવાન સાઈને પ્રણામ!
2,ॐ लक्ष्मीनारायणाय नमः ,Om laksminarayanaya namah ,ওঁ লক্ষ্মীনারায়ণায় নমঃ ,ఓం లక్ష్మీనారాయణాయ నమః ,ௐ லக்ஷ்மீநாராயணாய நம: ,ಓಂ ಲಕ್ಷ್ಮೀನಾರಾಯಣಾಯ ನಮಃ ,ഓം ലക്ഷ്മീനാരായണായ നമഃ ,ૐ લક્ષ્મીનારાયણાય નમઃ ,ଓଂ ଲକ୍ଷ୍ମୀନାରାୟଣାୟ ନମଃ ,ॐ ਲਕ੍ਸ਼੍ਮੀਨਾਰਾਯਣਾਯ ਨਮਃ ,Om- to (Vishnu as the Sleeping God lying on waters in the interval between destruction and re-manifestation of universes) Narayana (accompanied by the Goddess of Wealth)Lakshmi- prostration !,ओम- (विष्णु के रूप में सोते हुए भगवान के रूप में विनाश और ब्रह्मांडों के पुन: प्रकट होने के बीच अंतराल में पानी पर लेटे हुए) नारायण (धन की देवी के साथ)  लक्ष्मी- साष्टांग प्रणाम!,ओम- (ब्रह्माण्डको विनाश र पुन: प्रकटीकरण बीचको अन्तरालमा पानीमा सुतिरहेका भगवानको रूपमा विष्णु) नारायण (सम्पत्तिकी देवीको साथमा) लक्ष्मीलाई प्रणाम!,ஓம்- (அழிப்பதற்கும் பிரபஞ்சங்களை மீண்டும் உருவாக்குவதற்கும் இடைப்பட்ட இடைவெளியில் தண்ணீரில் படுத்திருக்கும் உறங்கும் கடவுளாக விஷ்ணு) நாராயண (செல்வத்தின் தேவியுடன்) லட்சுமி- சாஷ்டாங்கமாக!,ఓం- (విష్ణువు విధ్వంసం మరియు విశ్వాల పునర్నిర్మాణం మధ్య విరామంలో నీటిపై పడుకున్న నిద్రిస్తున్న దేవుడు) నారాయణ (సంపద దేవతతో కలిసి) లక్ష్మీ- సాష్టాంగం !,ಓಂ- ಗೆ (ವಿನಾಶ ಮತ್ತು ಬ್ರಹ್ಮಾಂಡಗಳ ಮರುಸೃಷ್ಟಿಯ ನಡುವಿನ ಮಧ್ಯಂತರದಲ್ಲಿ ನೀರಿನ ಮೇಲೆ ಮಲಗಿರುವ ವಿಷ್ಣುವು ನಿದ್ರಿಸುವ ದೇವರಂತೆ) ನಾರಾಯಣ (ಸಂಪತ್ತಿನ ದೇವತೆಯ ಜೊತೆಯಲ್ಲಿ) ಲಕ್ಷ್ಮಿ- ನಮಸ್ಕಾರ !,ഓം- (വിനാശത്തിനും പ്രപഞ്ചങ്ങളുടെ പുനർനിർമ്മാണത്തിനും ഇടയിലുള്ള ഇടവേളയിൽ വെള്ളത്തിൽ കിടക്കുന്ന ഉറങ്ങുന്ന ദൈവമായി വിഷ്ണു) നാരായണ (സമ്പത്തിന്റെ ദേവതയോടൊപ്പം) ലക്ഷ്മി- പ്രണാമം!,ওম- মহাবিশ্বের ধ্বংস এবং পুনর্গঠনের মধ্যবর্তী ব্যবধানে জলের উপর শুয়ে থাকা বিষ্ণুকে (বিষ্ণু) নারায়ণ (ধনের দেবী সহ) লক্ষ্মী- প্রণাম!,ଓମ୍- (ବିଷ୍ଣୁ ଯେପରି ଶୋଇଥିବା ଭଗବାନ ଭାବରେ ବ୍ରହ୍ମାଣ୍ଡର ବିନାଶ ଏବଂ ସୃଷ୍ଟି ମଧ୍ୟରେ ବ୍ୟବଧାନରେ ଜଳ ଉପରେ ଶୋଇଛନ୍ତି) ନାରାୟଣ (ଧନ ଦେବୀଙ୍କ ସାଙ୍ଗରେ) ଲକ୍ଷ୍ମୀ- ପ୍ରଣାମ!,ओम- विश्वाचा नाश आणि पुनरुत्थान दरम्यानच्या मध्यंतरात पाण्यावर झोपलेल्या विष्णूच्या रूपात नारायणाला (संपत्तीची देवी) लक्ष्मी- साष्टांग नमस्कार !,ਓਮ- (ਵਿਸ਼ਨੂੰ ਦੇ ਰੂਪ ਵਿੱਚ ਸੁੱਤੇ ਹੋਏ ਦੇਵਤੇ ਦੇ ਰੂਪ ਵਿੱਚ ਜੋ ਕਿ ਬ੍ਰਹਿਮੰਡਾਂ ਦੇ ਵਿਨਾਸ਼ ਅਤੇ ਪੁਨਰ ਨਿਰਮਾਣ ਦੇ ਵਿਚਕਾਰ ਅੰਤਰਾਲ ਵਿੱਚ ਪਾਣੀ ਉੱਤੇ ਪਿਆ ਹੋਇਆ ਹੈ) ਨਰਾਇਣ (ਦੌਲਤ ਦੀ ਦੇਵੀ ਦੇ ਨਾਲ) ਲਕਸ਼ਮੀ- ਪ੍ਰਣਾਮ!,ઓમ- (બ્રહ્માંડના વિનાશ અને પુનર્નિર્માણ વચ્ચેના અંતરાલમાં પાણી પર સૂતેલા ભગવાન તરીકે વિષ્ણુ) નારાયણ (સંપત્તિની દેવી સાથે) લક્ષ્મીને- પ્રણામ !
3,ॐ श्रीरामकृष्णमारुत्यादिरूपाय नमः ,Om sriramakrsnamarutyadirupaya namah ,ওঁ শ্রীরামকৃষ্ণমারুত্যাদিরূপায় নমঃ ,ఓం శ్రీరామకృష్ణమారుత్యాదిరూపాయ నమః ,ௐ ஶ்ரீராமக்ருʼஷ்ணமாருத்யாதி³ரூபாய நம: ,ಓಂ ಶ್ರೀರಾಮಕೃಷ್ಣಮಾರುತ್ಯಾದಿರೂಪಾಯ ನಮಃ ,ഓം ശ്രീരാമകൃഷ്ണമാരുത്യാദിരൂപായ നമഃ ,ૐ શ્રીરામકૃષ્ણમારુત્યાદિરૂપાય નમઃ ,ଓଂ ଶ୍ରୀରାମକୃଷ୍ଣମାରୁତ୍ୟାଦିରୂପାୟ ନମଃ ,ॐ ਸ਼੍ਰੀਰਾਮਕਸ਼੍ਣਮਾਰੁਤ੍ਯਾਦਿਰੂਪਾਯ ਨਮਃ ,Om- to Him whose forms Krishna and Rama- Hanuman the son of wind and so on are- prostration !,ओम- जिनके रूप कृष्ण और राम- पवन पुत्र हनुमान आदि हैं- साष्टांग प्रणाम!,ओम- जसको रूप कृष्ण र राम- पवनपुत्र हनुमान इत्यादिलाई प्रणाम !,ஓம்- யாருடைய வடிவங்களான கிருஷ்ணர் மற்றும் ராமர்- காற்றின் மகன் ஹனுமான் மற்றும் பலருக்கு- சாஷ்டாங்கம்!,ఓం- ఎవరి రూపాలు కృష్ణుడు మరియు రాముడు- గాలి కుమారుడు హనుమంతుడు మొదలైన వారికి- సాష్టాంగం!,ಓಮ್- ಯಾರ ರೂಪಗಳು ಕೃಷ್ಣ ಮತ್ತು ರಾಮ- ಗಾಳಿಯ ಮಗ ಹನುಮಾನ್ ಮತ್ತು ಮುಂತಾದವುಗಳಿಗೆ- ನಮಸ್ಕಾರ!,ഓം- ആരുടെ രൂപങ്ങളായ കൃഷ്ണനും രാമനും- കാറ്റിന്റെ പുത്രനായ ഹനുമാൻ അങ്ങനെയുള്ളവനും- പ്രണാമം!,ওম- যাঁর রূপ কৃষ্ণ ও রাম- হাওয়ার পুত্র হনুমান ইত্যাদি তাঁকে প্রণাম!,ଓମ୍- ଯାହାର କୃଷ୍ଣ ଏବଂ ରାମ- ପବନର ପୁତ୍ର ହନୁମାନ ଇତ୍ୟାଦି- ପ୍ରଣାମ!,ओम- ज्याची रूपे कृष्ण आणि राम- वाऱ्याचा पुत्र हनुमान वगैरे आहेत- त्याला साष्टांग नमस्कार!,ਓਮ- ਉਸ ਨੂੰ ਜਿਸ ਦੇ ਰੂਪ ਕ੍ਰਿਸ਼ਨ ਅਤੇ ਰਾਮ- ਹਨੂਮਾਨ ਹਨੂਮਾਨ ਆਦਿ ਹਨ- ਪ੍ਰਣਾਮ!,ઓમ- જેમના રૂપ કૃષ્ણ અને રામ- પવનના પુત્ર હનુમાન વગેરે છે- તેમને પ્રણામ!
4,ॐ शेषशायिने नमः ,Om sesasayine namah ,ওঁ শেষশায়িনে নমঃ ,ఓం శేషశాయినే నమః ,ௐ ஶேஷஶாயிநே நம: ,ಓಂ ಶೇಷಶಾಯಿನೇ ನಮಃ ,ഓം ശേഷശായിനേ നമഃ ,ૐ શેષશાયિને નમઃ ,ଓଂ ଶେଷଶାୟିନେ ନମଃ ,ॐ ਸ਼ੇਸ਼ਸ਼ਾਯਿਨੇ ਨਮਃ ,Om- to Vishnu (in his aforementionned form) laying on Shesha (Divine Serpent)- prostration !,ओम- विष्णु को (उनके पूर्वोक्त रूप में) शेष (दिव्य नाग) पर लेटे हुए- साष्टांग प्रणाम!,ओम- विष्णुलाई (उहाँको माथि उल्लिखित रूपमा) शेष (दिव्य सर्प) लाई प्रणाम!,ஓம்- விஷ்ணுவுக்கு (அவரது மேற்கூறிய வடிவத்தில்) ஷேஷாவின் மீது (தெய்வீக பாம்பு) படுத்தபடி- சாஷ்டாங்கமாக!,ఓం- శేష (దైవిక పాము)పై పడుకున్న విష్ణువుకు (పైన పేర్కొన్న రూపంలో) సాష్టాంగ ప్రణామం!,ಓಂ- ವಿಷ್ಣುವಿಗೆ (ಅವನ ಮೇಲೆ ಹೇಳಿದ ರೂಪದಲ್ಲಿ) ಶೇಷ (ದೈವಿಕ ಸರ್ಪ) ಮೇಲೆ ಮಲಗಿ- ಸಾಷ್ಟಾಂಗ ನಮಸ್ಕಾರ!,ഓം- വിഷ്ണുവിന് (മേൽപ്പറഞ്ഞ രൂപത്തിൽ) ശേഷ (ദിവ്യ സർപ്പം) മേൽ കിടക്കുന്നു- പ്രണാമം!,ওম- বিষ্ণুকে (তাঁর উল্লিখিত আকারে) শেশের (দিব্য সর্প) উপর শুয়ে প্রণাম!,ଓମ୍- ବିଷ୍ଣୁଙ୍କୁ (ତାଙ୍କର ଉପରୋକ୍ତ ରୂପରେ) ଶେଶା (ine ଶ୍ୱରୀୟ ସର୍ପ) ଉପରେ ପ୍ରଣାମ!,ओम- शेषावर (दिव्य सर्प) बसलेल्या विष्णूला (त्याच्या वरील रूपात) साष्टांग नमस्कार !,ਓਮ- ਵਿਸ਼ਨੂੰ ਨੂੰ (ਉਸਦੇ ਉਪਰੋਕਤ ਰੂਪ ਵਿੱਚ) ਸ਼ੀਸ਼ਾ (ਦੈਵੀ ਸੱਪ) ਉੱਤੇ ਲੇਟਿਆ ਹੋਇਆ ਸੀ- ਪ੍ਰਣਾਮ!,ઓમ- વિષ્ણુને (તેના ઉપરોક્ત સ્વરૂપમાં) શેષ (દૈવી સર્પ) પર બિછાવે છે- પ્રણામ!
5,ॐ गोदावरीतटशिरडीवासिने नमः ,Om godavaritatasiradivasine namah ,ওঁ গোদাবরীতটশিরডীবাসিনে নমঃ ,ఓం గోదావరీతటశిరడీవాసినే నమః ,ௐ கோ³தா³வரீதடஶிரடீ³வாஸிநே நம: ,ಓಂ ಗೋದಾವರೀತಟಶಿರಡೀವಾಸಿನೇ ನಮಃ ,ഓം ഗോദാവരീതടശിരഡീവാസിനേ നമഃ ,ૐ ગોદાવરીતટશિરડીવાસિને નમઃ ,ଓଂ ଗୋଦାଵରୀତଟଶିରଡୀଵାସିନେ ନମଃ ,ॐ ਗੋਦਾਵਰੀਤਟਸ਼ਿਰਡੀਵਾਸਿਨੇ ਨਮਃ ,Om- to who has His abode near the shores of(the Holy river) Godavari- prostration!,ओम- गोदावरी के तट के पास उनका निवास किसके पास है- साष्टांग प्रणाम!,ओम- जसलाई (पवित्र नदी) गोदावरीको किनारमा आफ्नो वास छ- प्रणाम!,ஓம்- கோதாவரியின் (புனித நதி) கரையில் வசிப்பிடமாக இருப்பவருக்கு- சாஷ்டாங்கமாக!,ఓం- (పవిత్ర నది) గోదావరి తీరం దగ్గర తన నివాసం ఉన్నవారికి- సాష్టాంగం!,ಓಂ- (ಪವಿತ್ರ ನದಿ) ಗೋದಾವರಿ ತೀರದಲ್ಲಿ ತನ್ನ ವಾಸಸ್ಥಾನವನ್ನು ಹೊಂದಿರುವವರಿಗೆ- ನಮಸ್ಕಾರ!,ഓം- (വിശുദ്ധ നദി) ഗോദാവരി തീരത്ത് തന്റെ വാസസ്ഥലം ഉള്ളവർക്ക്- പ്രണാമം!,ওম- গোদাবরীর (পবিত্র নদীর) তীরে যার আবাস আছে- প্রণাম!,ଓମ୍- (ପବିତ୍ର ନଦୀ) ଗୋଦାବରୀ କୂଳରେ ତାଙ୍କର ବାସସ୍ଥାନ ଅଛି- ପ୍ରଣାମ!,ओम- गोदावरीच्या (पवित्र नदीच्या) किनाऱ्याजवळ ज्याचा वास आहे- त्याला साष्टांग नमस्कार!,ਓਮ- ਜਿਸ ਦਾ ਨਿਵਾਸ (ਪਵਿੱਤਰ ਨਦੀ) ਗੋਦਾਵਰੀ ਦੇ ਕੰਢੇ ਹੈ- ਉਸ ਨੂੰ ਪ੍ਰਣਾਮ!,ઓમ- ગોદાવરીના (પવિત્ર નદી) કિનારે જેમનો વાસ છે- તેને પ્રણામ!
6,ॐ भक्तहृदालयाय नमः ,Om bhaktahrdalayaya namah ,ওঁ ভক্তহৃদালয়ায় নমঃ ,ఓం భక్తహృదాలయాయ నమః ,ௐ ப⁴க்தஹ்ருʼதா³லயாய நம: ,ಓಂ ಭಕ್ತಹೃದಾಲಯಾಯ ನಮಃ ,ഓം ഭക്തഹൃദാലയായ നമഃ ,ૐ ભક્તહૃદાલયાય નમઃ ,ଓଂ ଭକ୍ତହୃଦାଲୟାୟ ନମଃ ,ॐ ਭਕ੍ਤਹਦਾਲਯਾਯ ਨਮਃ ,Om- to Him whose seat (His) devotees' hearts are- prostration!,ओम- जिसके आसन (उनके) भक्तों के हृदय हैं- साष्टांग प्रणाम!,ओम- जसको आसनमा भक्तहरूको हृदय छ- उहाँलाई प्रणाम!,ஓம்- எவருடைய (அவரது) பக்தர்களின் இதயங்கள் உள்ளதோ அவருக்கு- சாஷ்டாங்கம்!,ఓం- ఎవరి ఆసనం (ఆయన) భక్తుల హృదయాలు ఉంటాయో- ఆయనకు సాష్టాంగం!,ಓಂ- ಯಾರ ಆಸನ (ತನ್ನ) ಭಕ್ತರ ಹೃದಯವುಳ್ಳವನಿಗೆ- ನಮಸ್ಕಾರ!,ഓം- ആരുടെ ഇരിപ്പിടം (തന്റെ) ഭക്തരുടെ ഹൃദയങ്ങളാണോ അവന്- പ്രണാമം!,ওম- যাঁর আসনে (তাঁর) ভক্তের হৃদয়- প্রণাম!,ଓମ୍- ଯାହାର ଆସନ (ତାଙ୍କର) ଭକ୍ତଙ୍କ ହୃଦୟ- ପ୍ରଣାମ!,ओम- ज्याच्या आसनावर (त्याच्या) भक्तांचे हृदय आहे- त्याला साष्टांग नमस्कार!,ਓਮ- ਉਸ ਨੂੰ ਜਿਸ ਦੇ ਆਸਨ (ਉਸ ਦੇ) ਭਗਤਾਂ ਦੇ ਹਿਰਦੇ ਹਨ- ਪ੍ਰਣਾਮ!,ઓમ- જેમના આસન (તેમના) ભક્તોના હૃદય છે- તેને પ્રણામ!
7,ॐ सर्वहृद्वासिने नमः ,Om sarvahrdvasine namah ,ওঁ সর্বহৃদ্বাসিনে নমঃ ,ఓం సర్వహృద్వాసినే నమః ,ௐ ஸர்வஹ்ருʼத்³வாஸிநே நம: ,ಓಂ ಸರ್ವಹೃದ್ವಾಸಿನೇ ನಮಃ ,ഓം സര്‍വഹൃദ്വാസിനേ നമഃ ,ૐ સર્વહૃદ્વાસિને નમઃ ,ଓଂ ସର୍ଵହୃଦ୍ଵାସିନେ ନମଃ ,ॐ ਸਰ੍ਵਹਦ੍ਵਾਸਿਨੇ ਨਮਃ ,Om- to Him whose abode the hearts of all (beings) are- prostration!,ओम- जिसका निवास सभी (प्राणियों) के दिलों में है- साष्टांग प्रणाम!,ओम- जसको हृदयमा सबै (प्राणीहरू) को वास छ- उहाँलाई प्रणाम!,ஓம்- எல்லா (உயிர்களின்) இதயங்களும் எவருடைய வசிப்பிடமாக இருக்கிறதோ அவருக்கு- ஸஜ்தா!,ఓం- సర్వ (జీవుల) హృదయాలు ఎవరి నివాసంగా ఉన్నాయో- ఆయనకు సాష్టాంగం!,ಓಂ- ಎಲ್ಲ (ಜೀವಿಗಳ) ಹೃದಯವು ಯಾರ ನಿವಾಸವಾಗಿದೆಯೋ ಅವನಿಗೆ- ನಮಸ್ಕಾರ!,ഓം- എല്ലാവരുടെയും (ജീവികളുടെ) ഹൃദയങ്ങൾ ആരുടെ വാസസ്ഥലമാണോ അവന്- പ്രണാമം!,ওম- যাঁর বাসস্থান সকলের (সত্তার) অন্তর- তাঁকে প্রণাম!,ଓମ୍- ଯାହାର ହୃଦୟ ସମସ୍ତଙ୍କର (ପ୍ରାଣୀ) ର ପ୍ରଣାମ!,ओम- ज्याच्या हृदयात सर्वांचे निवासस्थान आहे- त्याला साष्टांग नमस्कार!,ਓਮ- ਉਸ ਨੂੰ ਜਿਸ ਦਾ ਨਿਵਾਸ ਸਭ (ਜੀਵਾਂ) ਦੇ ਹਿਰਦੇ ਹਨ- ਪ੍ਰਣਾਮ!,ઓમ- જેને બધા (જીવો)ના હૃદયમાં વાસ છે- તેને પ્રણામ!
8,ॐ भूतावासाय नमः ,Om bhutavasaya namah ,ওঁ ভূতাবাসায় নমঃ ,ఓం భూతావాసాయ నమః ,ௐ பூ⁴தாவாஸாய நம: ,ಓಂ ಭೂತಾವಾಸಾಯ ನಮಃ ,ഓം ഭൂതാവാസായ നമഃ ,ૐ ભૂતાવાસાય નમઃ ,ଓଂ ଭୂତାଵାସାୟ ନମଃ ,ॐ ਭੂਤਾਵਾਸਾਯ ਨਮਃ ,Om- to Him in whom the beings dwell- prostration!,ओम- जिसमें प्राणी निवास करते हैं- साष्टांग प्रणाम!,ओम- जसमा प्राणीहरू बस्छन्- उहाँलाई प्रणाम!,ஓம்- எவரில் ஜீவராசிகள் வாழ்கிறாரோ அவருக்கு- சாஷ்டாங்கமாக!,ఓం- ఎవరిలో జీవులు వసిస్తున్నారో- ఆయనకు సాష్టాంగ ప్రణామం!,ಓಂ- ಜೀವಿಗಳು ವಾಸಿಸುವವನಿಗೆ- ಪ್ರಣಾಮ!,ഓം- ജീവികൾ വസിക്കുന്നവന്- പ്രണാമം!,ওম- যাঁর মধ্যে মানুষ বাস করে- তাঁকে প্রণাম!,ଓମ୍- ଯେଉଁମାନଙ୍କଠାରେ ପ୍ରାଣୀମାନେ ବାସ କରନ୍ତି- ତାଙ୍କୁ ପ୍ରଣାମ କରନ୍ତୁ!,ओम- ज्याच्यामध्ये जीव वास करतात त्याला साष्टांग नमस्कार!,ਓਮ- ਉਸ ਨੂੰ ਜਿਸ ਦੇ ਅੰਦਰ ਜੀਵ ਵੱਸਦੇ ਹਨ- ਪ੍ਰਣਾਮ!,ઓમ- જેમનામાં જીવો વસે છે તેને પ્રણામ!
9,ॐ भूतभविष्यद्भाववर्जिताय नमः ,Om bhutabhavisyadbhavavarjitaya namah ,ওঁ ভূতভবিষ্যদ্ভাববর্জিতায় নমঃ ,ఓం భూతభవిష్యద్భావవర్జితాయ నమః ,ௐ பூ⁴தப⁴விஷ்யத்³பா⁴வவர்ஜிதாய நம: ,ಓಂ ಭೂತಭವಿಷ್ಯದ್ಭಾವವರ್ಜಿತಾಯ ನಮಃ ,ഓം ഭൂതഭവിഷ്യദ്ഭാവവര്‍ജിതായ നമഃ ,ૐ ભૂતભવિષ્યદ્ભાવવર્જિતાય નમઃ ,ଓଂ ଭୂତଭଵିଷ୍ୟଦ୍ଭାଵଵର୍ଜିତାୟ ନମଃ ,ॐ ਭੂਤਭਵਿਸ਼੍ਯਦ੍ਭਾਵਵਰ੍ਜਿਤਾਯ ਨਮਃ ,Om- to Him who is bereft of past- future and present- prostration!,ओम- जो भूत- भविष्य और वर्तमान से रहित है- उसे साष्टांग प्रणाम!,ओम- भूत- भविष्य र वर्तमानबाट अधुरो प्रणाम !,ஓம்- கடந்த காலம்- எதிர்காலம் மற்றும் நிகழ்காலம் இல்லாதவனுக்கு- சாஷ்டாங்கமாக!,ఓం- భూత- భవిష్యత్తు- వర్తమానాలను కోల్పోయిన ఆయనకు సాష్టాంగ ప్రణామం!,ಓಂ- ಭೂತ- ಭವಿಷ್ಯ ಮತ್ತು ವರ್ತಮಾನವನ್ನು ಕಳೆದುಕೊಂಡವನಿಗೆ- ಪ್ರಣಾಮ!,ഓം- ഭൂതവും ഭാവിയും വർത്തമാനവും നഷ്ടപ്പെട്ടവന്- പ്രണാമം!,ওম- যিনি অতীত- ভবিষ্যত ও বর্তমানের ছিন্নমূল- তাকে প্রণাম!,ଓମ୍- ଯିଏ ଅତୀତ- ଭବିଷ୍ୟତ ଏବଂ ବର୍ତ୍ତମାନ- ପ୍ରଣାମରୁ ବଞ୍ଚିତ!,ओम- भूतकाळ- भविष्य आणि वर्तमान यांच्यापासून वंचित असलेल्या त्याला साष्टांग नमस्कार!,ਓਮ- ਉਸ ਨੂੰ ਜੋ ਅਤੀਤ- ਭਵਿੱਖ ਅਤੇ ਵਰਤਮਾਨ ਤੋਂ ਵਾਂਝਾ ਹੈ- ਪ੍ਰਣਾਮ!,ઓમ- ભૂતકાળ- ભવિષ્ય અને વર્તમાનથી વંચિત તેને પ્રણામ!
10,ॐ कालातीताय नमः,Om kalatitaya namah ,ওঁ কালাতীতায় নমঃ ,ఓం కాలాతీతాయ నమః,ௐ காலாதீதாய நம: ,ಓಂ ಕಾಲಾತೀತಾಯ ನಮಃ ,ഓം കാലാതീതായ നമഃ ,ૐ કાલાતીતાય નમઃ ,ଓଂ କାଲାତୀତାୟ ନମଃ ,ॐ ਕਾਲਾਤੀਤਾਯ ਨਮਃ ,Om- to Him who transcends time (and death) prostration !,ओम- उसके लिए जो समय (और मृत्यु) को पार कर जाता है!,ओम- समय (र मृत्यु) लाई प्रणाम गर्ने उहाँलाई!,ஓம்- காலத்தை (மரணத்தையும்) கடந்தவரே!,ఓం- కాల (మరియు మరణ) సాష్టాంగాన్ని అధిగమించే వ్యక్తికి!,ಸಮಯ (ಮತ್ತು ಮರಣ) ಪ್ರಣಾಮವನ್ನು ಮೀರಿದವನಿಗೆ ಓಂ!,ഓം- സമയത്തെ (മരണത്തെയും) മറികടക്കുന്നവന് പ്രണാമം!,ওম- যিনি সময়কে অতিক্রম করেন (এবং মৃত্যু) প্রণাম!,ଓମ୍- ଯିଏ ସମୟ (ଏବଂ ମୃତ୍ୟୁ) ପ୍ରଣାମକୁ ଅତିକ୍ରମ କରେ!,ओम- ज्याने वेळेला (आणि मृत्यू) साष्टांग नमस्कार केला!,ਓਮ- ਉਸ ਨੂੰ ਜੋ ਸਮੇਂ (ਅਤੇ ਮੌਤ) ਨੂੰ ਪ੍ਰਣਾਮ ਕਰਦਾ ਹੈ!,ઓમ- સમય (અને મૃત્યુ) ને વંદન કરતા તેને!
